row_id,boomer,topic,boomer_style,gen_alpha_style,sentence_type
13212,Do not forget to notify me of your travel plans.,travel and going out,formal and slightly stiff,unhinged chaos energy,exclamations or reactions
13213,It would be wonderful to explore more historical sites.,travel and going out,overly polite to the point of awkward,rizz-coded smooth talker,exclamations or reactions
13214,Be sure to look both ways before crossing.,travel and going out,using outdated idioms,ironic hype,exclamations or reactions
13215,Take the scenic route for a change.,travel and going out,using outdated idioms,unhinged chaos energy,exclamations or reactions
13216,Make sure to experience the local culture respectfully.,travel and going out,passive-aggressive,NPC brainrot,exclamations or reactions
13217,Make sure to return home on time.,travel and going out,catastrophizing and dramatic,unhinged chaos energy,exclamations or reactions
13218,I hope you have a safe journey ahead.,travel and going out,formal and slightly stiff,unhinged chaos energy,exclamations or reactions
13219,Have you thought about a nice picnic in the park?,travel and going out,completely out of touch with youth culture,chronically online,exclamations or reactions
13220,Remember to pack light for your trip.,travel and going out,unsolicited advice-giver,delulu and delusional optimism,exclamations or reactions
13221,"Don’t forget to enjoy the journey, not just the destination.",travel and going out,unsolicited advice-giver,delulu and delusional optimism,exclamations or reactions
13222,You should always carry a backup wallet.,travel and going out,formal and slightly stiff,unhinged chaos energy,exclamations or reactions
13223,It might be beneficial to learn a few basic phrases in the local language.,travel and going out,formal and slightly stiff,unhinged chaos energy,exclamations or reactions
13224,Don’t forget to take photos of your experiences.,travel and going out,overly literal and pedantic,delulu and delusional optimism,exclamations or reactions
13225,You should embrace the opportunity to meet new people.,travel and going out,overly polite to the point of awkward,rizz-coded smooth talker,exclamations or reactions
13226,I hope you won't forget to take care of yourself.,travel and going out,passive-aggressive,NPC brainrot,exclamations or reactions
13227,What a joy it is to discover new places!,travel and going out,overly polite to the point of awkward,doomer and nihilistic,exclamations or reactions
13228,I believe it is essential to learn a few phrases in the local language.,travel and going out,overly polite to the point of awkward,rizz-coded smooth talker,exclamations or reactions
13229,It’s crucial to plan ahead for your trip!,travel and going out,overly polite to the point of awkward,doomer and nihilistic,exclamations or reactions
13230,You should consider traveling with someone instead of alone.,travel and going out,confused by technology,chronically online,exclamations or reactions
13231,You should try the local cuisine to fully experience the culture.,travel and going out,unsolicited advice-giver,delulu and delusional optimism,exclamations or reactions
13232,Be prepared for delays during your journey.,travel and going out,formal and slightly stiff,unhinged chaos energy,exclamations or reactions
13233,You must remain alert in unfamiliar surroundings.,travel and going out,overly literal and pedantic,delulu and delusional optimism,exclamations or reactions
13234,Make travel a priority in your life.,travel and going out,using outdated idioms,ironic hype,exclamations or reactions
13235,Stay alert in crowded areas to avoid pickpockets.,travel and going out,formal and slightly stiff,unhinged chaos energy,exclamations or reactions
13236,Ensure you have all necessary vaccinations before traveling.,travel and going out,formal and slightly stiff,unhinged chaos energy,exclamations or reactions
13237,You should check your flight details before heading to the airport.,travel and going out,passive-aggressive,NPC brainrot,exclamations or reactions
13238,You should certainly capture the beauty of your adventures!,travel and going out,overly polite to the point of awkward,doomer and nihilistic,exclamations or reactions
13239,Always be polite when asking for directions.,travel and going out,unsolicited advice-giver,delulu and delusional optimism,exclamations or reactions
13240,You should really enjoy some quiet time while on vacation.,travel and going out,completely out of touch with youth culture,chronically online,exclamations or reactions
13241,Travel can teach you invaluable lessons!,travel and going out,overly polite to the point of awkward,doomer and nihilistic,exclamations or reactions
13242,Please be mindful of your safety while traveling.,travel and going out,overly polite to the point of awkward,doomer and nihilistic,exclamations or reactions
13243,Stay off your phone while in public places.,travel and going out,catastrophizing and dramatic,unhinged chaos energy,exclamations or reactions
13244,Don't forget to tell someone your travel plans.,travel and going out,unsolicited advice-giver,delulu and delusional optimism,exclamations or reactions
